company,education,experience,location,position,salary
传智播客,大专,1-3年,广州,python数据分析及机器学习讲师,20k-30k
瑞思咨询,本科,3-5年,广州,机器学习平台产品经理,15k-30k
瑞思咨询,本科,3-5年,广州,机器学习平台研发工程师,15k-30k
融合通信,本科,5-10年,广州,机器学习工程师,20k-25k
LinkDoc,硕士,不限,广州,机器学习工程师,20k-40k
开睿迪,大专,1年以内,广州,机器学习,6k-7k
广州极飞科技有限公司,本科,不限,广州,机器学习算法工程师,10k-20k
初星科技,硕士,1-3年,广州,高级机器学习工程师,15k-25k
中兴软创,本科,3-5年,广州,机器学习工程师,15k-25k
星谊科技,高中,不限,广州,机器学习,5k-8k
思迈特软件,硕士,3-5年,广州,机器学习专家,25k-50k
北京创数纪,大专,3-5年,广州,机器学习工程师,15k-25k
太平洋网络,本科,不限,广州,web开发工程师（机器学习方向）,10k-15k
阿里巴巴-UC,本科,3-5年,广州,产品经理-算法模型/机器学习方向-广州,15k-30k
曲速未来,不限,1-3年,广州,机器学习 / 深度学习,15k-20k
凌晨网络科技,硕士,3-5年,广州,高级机器学习工程师,12k-24k
赫基国际,本科,1-3年,广州,机器学习研发工程师,12k-18k
探迹,本科,1-3年,广州,机器学习高级工程师,20k-30k
探迹,本科,1-3年,广州,机器学习算法工程师,12k-24k
赫基国际,硕士,3-5年,广州,高级机器学习研发工程师,18k-25k
唯品会,本科,1-3年,广州,人工智能算法工程师（机器学习）,15k-25k
MELUX,本科,3-5年,广州,机器学习开发工程师,10k-15k
广州火焰科技,硕士,不限,广州,机器学习实习生,3k-5k
广州力为,本科,不限,广州,机器学习,10k-11k
虎牙直播,硕士,不限,广州,机器学习,20k-40k
虎牙直播,硕士,1-3年,广州,机器学习高级工程师,10k-15k
浩瀚汇通,本科,3-5年,广州,AI算法专家（机器学习）,16k-32k
健客,本科,3-5年,广州,机器学习高级工程师,15k-25k
广州医博,本科,1-3年,广州,机器学习开发工程师,9k-12k
赛伯乐投资管理,本科,1年以内,广州,机器学习,15k-30k
百度,本科,1-3年,上海,高级机器学习/数据挖掘工程师（内容联盟）,20k-40k
中联富地,本科,1-3年,上海,人工智能/机器学习开发工程师讲师,18k-35k
众言网络,本科,3-5年,上海,机器学习工程师,15k-30k
水象金融,本科,不限,上海,机器学习工程师,20k-40k
云脑科技,本科,应届生,上海,机器学习算法实习生,3k-6k
溢米辅导,本科,不限,上海,机器学习算法工程师,20k-40k
云脑科技,本科,3-5年,上海,机器学习算法工程师,13k-26k
平安科技,硕士,3-5年,上海,量化投资研究员（机器学习方向）（上海）,15k-30k
哈罗单车,本科,1-3年,上海,机器学习,15k-30k
携宁科技,本科,应届生,上海,数据分析和机器学习（Python）,6k-9k
小i机器人,本科,1-3年,上海,机器学习,12k-20k
rcrai,硕士,应届生,上海,机器学习工程师（实习生）,15k-19k
析乐,本科,不限,上海,电竞行业  机器学习,15k-30k
携程旅行网,硕士,不限,上海,机器学习算法工程师,25k-40k
	博答企业管理,硕士,1-3年,上海,机器学习工程师,12k-20k
择擅,硕士,1-3年,上海,人工智能算法工程师（机器学习）,25k-45k
北风网,硕士,1-3年,上海,机器学习数据挖掘讲师,30k-40k
宝象金融,本科,1-3年,上海,机器学习算法工程师,20k-25k
同盾科技,本科,5-10年,上海,反欺诈机器学习专家,30k-55k
房价网,本科,3-5年,上海,算法工程师，机器学习，深度学习）,15k-30k
森亿智能,本科,不限,上海,机器学习工程师,15k-30k
好买衣,硕士,3-5年,上海,机器学习/计算机视觉研发工程师,20k-40k
喜马拉雅FM,本科,1-3年,上海,* 算法工程师--机器学习方向,20k-40k
拓萧智能,不限,不限,上海,机器学习,6k-10k
昌岛医疗,本科,1-3年,上海,机器学习,15k-30k
光南,本科,1年以内,上海,机器学习,10k-20k
岗岭集团,博士,5-10年,上海,机器学习研究员,30k-50k
百度,硕士,5-10年,上海,机器学习,30k-60k
同盾科技,本科,3-5年,上海,JAVA开发工程师(机器学习团队),20k-30k
岗岭集团,本科,5-10年,上海,机器学习,25k-30k
我和我们,硕士,应届生,杭州,实习生(自然语言/知识图谱/机器学习方向),6k-12k
真气环保,本科,不限,杭州,机器学习算法工程师实习生,2k-4k
华为,本科,3-5年,杭州,机器学习框架开发工程师,18k-36k
蚂蚁金服,硕士,3-5年,杭州,机器学习,20k-40k
传化集团有限公司,不限,1-3年,杭州,机器学习工程师,18k-25k
暄暄科技,硕士,1-3年,杭州,机器学习研究员（图像/视觉方向）,20k-40k
酷家乐,本科,1-3年,杭州,机器学习算法工程师,18k-35k
华为,本科,3-5年,杭州,AI/机器学习/深度学习框架工程师,20k-40k
顺网科技,硕士,不限,杭州,机器学习优化工程师,10k-20k
暄暄科技,硕士,3-5年,杭州,机器学习（NLP/机器学习/文本挖掘）,20k-40k
速康,本科,1年以内,杭州,机器学习算法工程师（实习）,3k-5k
支付宝,本科,1年以内,杭州,机器学习,20k-40k
天琴医疗,博士,不限,杭州,机器学习,15k-25k
深睿医疗,硕士,不限,杭州,深度/机器学习实习生,10k-20k
阿里巴巴集团,硕士,1-3年,杭州,机器学习,15k-30k
执御,本科,3-5年,杭州,机器学习/数据挖掘工程师,30k-40k
数美,硕士,不限,杭州,机器学习（实习/校招）,4k-6k
同花顺,本科,不限,杭州,机器学习研究员,20k-40k
网易杭州,本科,1-3年,杭州,机器学习,20k-40k
海康威视,硕士,不限,杭州,机器学习,25k-35k
同花顺,本科,不限,杭州,算法研究员（NLP/机器学习/文本挖掘）,20k-40k
杭州蒲公英数据科技,大专,1-3年,杭州,风控建模（机器学习方向）,13k-25k
华为,本科,3-5年,杭州,机器学习,18k-36k
阿里巴巴集团,本科,3-5年,杭州,机器学习,35k-50k
速康,本科,1-3年,杭州,机器学习算法工程师,15k-30k
零零无限科技,本科,1-3年,杭州,机器学习算法工程师,15k-30k
杭州比智科技有限公司,本科,不限,杭州,机器学习算法工程师,20k-40k
同盾科技,本科,3-5年,杭州,机器学习算法专家,20k-35k
同盾科技,硕士,5-10年,杭州,反欺诈-机器学习专家,35k-55k
方得智能,硕士,3-5年,杭州,机器学习算法工程师,10k-19k
正和思齐,不限,不限,北京,研发实习（机器学习方向）,3k-6k
中国软件,本科,3-5年,北京,python大数据平台/机器学习算法系统架构师,20k-30k
VIPKID,本科,不限,北京,机器学习工程师,20k-40k
百度,本科,3-5年,北京,机器学习算法高级工程师,30k-60k
玖富,本科,3-5年,北京,机器学习算法工程师,25k-45k
品友互动,本科,1-3年,北京,机器学习,10k-20k
赞同科技,本科,1-3年,北京,机器学习 ai,15k-30k
青星教育,本科,1-3年,北京,机器学习,10k-20k
周同科技,本科,3-5年,北京,机器学习,30k-60k
京东金融,本科,3-5年,北京,机器学习算法工程师,20k-40k
去哪儿,本科,1-3年,北京,机器学习,20k-40k
悉见,硕士,3-5年,北京,资深算法工程师（机器学习）,30k-50k
bilibili,本科,3-5年,北京,机器学习系统工程师,25k-50k
今日头条,本科,1-3年,北京,头条实验室算法工程师 - 机器学习,25k-50k
京东金融,本科,3-5年,北京,算法工程师（机器学习/深度学习）,20k-30k
作业帮,本科,1-3年,北京,机器学习,25k-45k
第四范式,本科,不限,北京,机器学习建模实习生,7k-10k
百度,硕士,3-5年,北京,机器学习,40k-80k
北京尚德机构,硕士,5-10年,北京,机器学习/算法/NLP,20k-40k
滴滴出行,不限,不限,北京,机器学习工程师（体验方向）——大数据,25k-50k
行圆汽车,硕士,不限,北京,NLP文本机器学习挖掘算法工程师或实习生,4k-8k
