businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,stationname,subwayline,workYear
古荡,杭州,支付宝(杭州)信息技术有限公司,153849,"年底双薪,带薪年假,股票期权,绩效奖金",i/image/M00/1F/54/CgpFT1kRuMmASL74AAAg3WZnNI005.jpeg,蚂蚁金服集团,2000人以上,2018-06-21 18:49:50,0,西湖区,本科,,B轮,开发/测试/运维类,2天前发布,,"年底双薪,17薪,股票期权,免费体检,5险1金,人体工学椅,晋升机制",overSevenDays,"金融,移动互联网",,0,全职,1525930104000,30.272627000000004,2号线_学院路;2号线_古翠路,120.12578799999999,0,,"金融核心,国际合作,数据驱动,新金融",4036613,"数据分析,数据挖掘,深度学习,人工智能",蚂蚁金服-微贷网商银行应用数据算法工程师／机器学习,,8815198,0,0,20k-40k,0,数据开发,古翠路,2号线,不限
"文一路,西溪,翠苑",杭州,虹亚（南京）多媒体科技有限公司,305247,"年底双薪,绩效奖金,定期体检,带薪年假",i/image/M00/75/3F/CgpFT1pCA6iAMl7HAAANW6-bkhk587.jpg,虹软,500-2000人,2018-06-21 21:22:50,0,西湖区,硕士,,不需要融资,开发/测试/运维类,2天前发布,,,today,"移动互联网,信息安全",,0,全职,1529662136000,30.290358,2号线_古翠路,120.11626000000001,0,,"优秀团队,完善福利",3999957,"图像处理,深度学习",机器学习算法工程师,,9624805,1,90,15K-30K,0,数据开发,古翠路,2号线,不限
,杭州,浙江执御信息技术有限公司,2380,"五险一金,带薪年假,节日礼物,年度旅游",i/image/M00/5E/25/Cgp3O1fqMFWAJ4hgAAAUycalP_8040.png,浙江执御信息技术有限公司,2000人以上,2018-06-22 09:14:53,0,拱墅区,硕士,,B轮,开发/测试/运维类,1天前发布,,,overSevenDays,"移动互联网,数据服务",,0,全职,1524008609000,30.333440000000003,,120.11362,0,,"公司前景好,电子商务,团队氛围好,扁平管理",4142676,"深度学习,推荐,NLP,人工智能",机器学习/数据挖掘工程师/专家,,9852839,1,100,20k-40k,0,数据开发,,,3-5年
长河,杭州,杭州绿湾网络科技有限公司,166345,"期权激励,住房补贴,全额公积金,年底双薪",i/image/M00/8B/28/CgqKkVh4eYOAVDpJAAKig0JGsPY738.jpg,绿湾,150-500人,2018-06-22 16:14:04,0,滨江区,本科,,B轮,开发/测试/运维类,1天前发布,,,disabled,"企业服务,数据服务",,0,全职,1529661830000,30.178352,,120.180722,0,,"期权激励,年底奖金,成长空间,带薪休假",4383951,"Java,算法,python",机器学习平台工程人员,,6780406,0,0,30k-60k,0,数据开发,,,3-5年
西兴,杭州,杭州迪普科技股份有限公司,401537,"""""",i/image2/M01/56/4D/CgotOVseLiWAByQ9AAAcGoDoj7E111.jpg,迪普科技,500-2000人,2018-06-22 10:46:55,0,滨江区,本科,,不需要融资,开发/测试/运维类,1天前发布,,,disabled,信息安全,,0,全职,1529639605000,30.209403000000002,1号线(下沙江滨)_滨和路;1号线(下沙江滨)_江陵路;1号线(临平)_滨和路;1号线(临平)_江陵路,120.213842,0,,"五险一金,定期体检,节假日福利,定期体检",4709932,数据挖掘,机器学习算法工程师,,11020406,0,0,8k-15k,0,数据开发,江陵路,1号线(下沙江滨),1-3年
"近江,望江",杭州,杭州昇星网络科技有限公司,136993,"黑科技,弹性工作,午餐补助,领导好",i/image/M00/94/E5/CgqKkVia4miAbbz7AAFLEIcW-qk660.jpg,昇星网络,15-50人,2018-06-20 16:28:28,0,上城区,本科,,天使轮,开发/测试/运维类,3天前发布,,,disabled,"其他,移动互联网",,1,实习,1529647995000,30.230786,1号线(下沙江滨)_近江;1号线(下沙江滨)_婺江路;1号线(临平)_近江;1号线(临平)_婺江路,120.189402,0,,"一流团队,一线产品,线下大数据,快速发展",2785438,"大数据,人工智能,算法",计算机视觉、机器学习、深度学习的实习生,,6916682,2,96,4k-8k,0,数据开发,婺江路,1号线(下沙江滨),不限
,杭州,北京数美时代科技有限公司,82991,"年底双薪,大数据,带薪年假,通讯津贴",i/image/M00/76/C2/CgqKkVg2fVCASEreAABS01Upo_A221.jpg,数美,150-500人,2018-06-22 14:44:57,0,余杭区,不限,,B轮,开发/测试/运维类,1天前发布,,,today,"企业服务,数据服务","征信,数据挖掘,深度学习,大数据,算法",0,全职,1529671553000,30.334556,,119.97175,0,,"大牛导师,海量数据,飞速发展",4046571,"征信,数据挖掘,深度学习,大数据,算法",机器学习（实习／校招）,,2117266,1,100,4k-8k,0,数据开发,,,不限
艮山,杭州,苏州融畅软件科技有限公司,296144,"""""",i/image2/M00/28/73/CgoB5lok9K2APmKqAAAnEr4mPsc057.png,融畅软件,50-150人,2018-06-19 10:07:41,0,下城区,本科,,未融资,开发/测试/运维类,2018-06-19,,,threeDays,移动互联网,,0,全职,1529584930000,30.281714,1号线(下沙江滨)_西湖文化广场;1号线(下沙江滨)_打铁关;1号线(下沙江滨)_闸弄口;1号线(临平)_西湖文化广场;1号线(临平)_打铁关;1号线(临平)_闸弄口,120.18089499999999,0,,氛围好，上升空间大,4426783,,算法专家机器学习,,10099328,0,0,25K-45K,0,数据开发,打铁关,1号线(下沙江滨),3-5年
,杭州,杭州乐刻网络技术有限公司,103424,"节日礼物,股票期权,带薪年假,绩效奖金",i/image/M00/1C/54/CgpFT1kK8xeAGpdVAAAYDRyKjvo062.png,乐刻运动,500-2000人,2018-05-24 11:32:37,0,西湖区,本科,,C轮,开发/测试/运维类,2018-05-24,,,threeDays,O2O,,0,全职,1529485230000,30.291882,2号线_学院路;2号线_古翠路,120.12413400000001,0,,"五险一金,年终绩效,期权激励,年度旅游",4578347,"资深,深度学习",机器学习算法专家,,3767601,1,100,25k-40k,0,数据开发,古翠路,2号线,1-3年
"高新文教区,古荡,西湖",杭州,杭州财米科技有限公司,4448,"年底多薪,岗位晋升,定期体检,五险一金",i/image/M00/4F/07/Cgp3O1etiV2AaBZpAAA7wHiME-0325.png,挖财,500-2000人,2018-06-22 09:49:32,0,西湖区,不限,,C轮,技术,1天前发布,,,today,"移动互联网,金融",,0,全职,1529689432000,30.27923004,2号线_学院路;2号线_古翠路,120.12092,0,,弹性工作，六险一金，晋升空间，带薪年假,2518063,"大数据,数据挖掘,NLP,算法",机器学习/文本挖掘工程师-杭州-00444,,43026,1,100,12k-24k,0,数据开发,古翠路,2号线,不限
