businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,stationname,subwayline,workYear
"亮马桥,三元桥,燕莎",深圳,上海海万信息科技股份有限公司,128998,,i/image/M00/2A/A6/Cgp3O1cyziuAfM5AAAAe20ZOb-4754.png,江苏亿科达,500-2000人,2018-06-21 23:20:58,0,福田区,本科,,不需要融资,开发/测试/运维类,2天前发布,,,disabled,"移动互联网,金融",,0,全职,1529668658000,0.0,,0.0,0,,"机器学习,交通便利,环境好",4560554,"数据分析,深度学习,语音处理,模式识别,人工智能",机器学习工程师,,8310437,1,100,10k-20k,0,数据开发,,,1-3年
"科技园,深圳湾,南山医院",深圳,深圳和而泰智能控制股份有限公司,10941,"绩效奖金,年终分红,股票期权,专项奖金",image1/M00/12/60/Cgo8PFUCuqaAX5E3AACKbxAiWcg642.jpg,和而泰,2000人以上,2018-06-22 14:50:33,0,南山区,硕士,,上市公司,开发/测试/运维类,1天前发布,,"免费下午茶,免费体检,地铁周边",today,移动互联网,,0,全职,1529654235000,22.537693,2号线/蛇口线_科苑;1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大,113.954321,0,,"智能家居,氛围轻松,下午茶",4758904,"人工智能,算法",和而泰 419 Lab 机器学习工程师,,4016560,0,0,20k-40k,0,数据开发,深大,2号线/蛇口线,1-3年
,深圳,岩心科技（深圳）有限公司,107664,"美女如云,股票期权,高速发展,扁平管理",i/image/M00/73/04/Cgp3O1gteKCAMVdbAAApNp8Trz8758.png,AKULAKU,150-500人,2018-06-21 11:14:26,0,南山区,本科,,B轮,开发/测试/运维类,2天前发布,,,today,"移动互联网,金融",,0,全职,1529652847000,22.529035,2号线/蛇口线_后海;2号线/蛇口线_科苑;1号线/罗宝线_深大;11号线/机场线_后海,113.94384699999999,0,,"薪资高,年终多,有期权",3291804,"算法,深度学习,爬虫",机器学习工程师,,8322642,1,93,20k-40k,0,数据开发,深大,2号线/蛇口线,1-3年
"大冲,科技园,科技园,大冲",深圳,深圳白骑士大数据有限公司,128065,"专项奖金,大数据,反欺诈,带薪年假",i/image/M00/3D/89/Cgp3O1dyQFiAS337AAAJ8SnzRcM883.png,深圳白骑士大数据有限公司,50-150人,2018-06-20 09:16:35,0,南山区,本科,,A轮,开发/测试/运维类,3天前发布,,,today,"企业服务,金融","金融,云计算,大数据,算法,自然语言处理",0,全职,1529670279000,22.545687,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.945856,0,,"大数据风控,技术创新,发展空间大",3377043,"金融,云计算,大数据,算法,自然语言处理",机器学习工程师,,4845927,1,100,15k-25k,0,数据开发,深大,1号线/罗宝线,1-3年
,深圳,深圳星行科技有限公司,199312,"硅谷文化,技术大牛,高薪高福利,股票期权",i/image/M00/2D/D7/CgpFT1k1KaqAUdmHAAEhq3D2dRY460.png,Roadstar.ai,50-150人,2018-06-19 17:40:03,0,南山区,硕士,,A轮,开发/测试/运维类,2018-06-19,,,disabled,"硬件,移动互联网",,0,全职,1529658525000,22.597399,,113.963356,0,,"​技术大牛,自动驾驶,高速发展,高薪高福利",3527344,"人工智能,算法",机器学习/深度学习工程师,,7983475,2,60,20k-40k,0,数据开发,,,1-3年
桂庙路口,深圳,深圳市一满乐科技有限公司,59896,"扁平管理,弹性工作,股票期权,带薪年假",i/image/M00/44/E4/CgpFT1li93WAEOJaAABGuk2k2Vo789.jpg,一满乐,15-50人,2018-06-22 11:37:30,0,南山区,硕士,,A轮,开发/测试/运维类,1天前发布,,,today,移动互联网,"金融,算法,数据挖掘,深度学习,推荐",0,全职,1529637671000,22.523917,2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海,113.93681200000002,0,,"硅谷团队,一线创投,前沿科技",3959504,"金融,算法,数据挖掘,深度学习,推荐",机器学习工程师,,1479487,1,100,30k-50k,0,数据开发,南山,2号线/蛇口线,3-5年
皇岗,深圳,联捷计算科技（深圳）有限公司,168101,"15天年假,年底双薪,股票期权,专项奖金",i/image/M00/8F/A9/Cgp3O1iVeOeARJlcAAAVFBEbTZc505.PNG,CTAccel联捷科技,50-150人,2018-06-22 17:32:09,0,福田区,本科,,A轮,开发/测试/运维类,1天前发布,,,disabled,"移动互联网,数据服务",,0,全职,1529659869000,22.534205,2号线/蛇口线_福田;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;4号线/龙华线_福民;4号线/龙华线_会展中心;4号线/龙华线_市民中心;1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;3号线/龙岗线_购物公园;3号线/龙岗线_福田;11号线/机场线_福田;7号线_皇岗村;7号线_福民,114.062476,0,,"15天年假,13薪,年终奖,扁平化管理",4028050,"人工智能,算法,图像处理,深度学习,python",软件工程师(机器学习),,5102330,1,21,25k-50k,0,数据开发,岗厦,2号线/蛇口线,3-5年
"科技园,南山医院,大冲",深圳,深圳市创梦天地科技有限公司,401,"绩效奖金,五险一金,带薪年假,节日礼物",image1/M00/00/03/CgYXBlTUV_mAAUZkAABiNm6Emp4030.jpg,乐逗游戏,500-2000人,2018-06-22 14:30:39,0,南山区,硕士,,上市公司,开发/测试/运维类,1天前发布,,,today,移动互联网,,0,全职,1529649711000,22.54834,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.9446,0,,待遇好,4649118,"人工智能,深度学习",机器学习工程师,,9326293,0,0,20k-40k,0,数据开发,深大,1号线/罗宝线,3-5年
科技园,深圳,珠海凡泰极客科技有限责任公司,195436,"金融科技,带薪年假,绩效奖金,扁平管理",i/image/M00/40/01/CgpFT1lZ8R-Aat4VAAAvgOH5QpU766.png,Finogeeks,50-150人,2018-06-22 14:54:33,0,南山区,硕士,,A轮,开发/测试/运维类,1天前发布,,,disabled,"金融,社交网络",,0,全职,1529650466000,22.533013,1号线/罗宝线_桃园;11号线/机场线_南山,113.930476,0,,"前沿,金融科技",3311732,"Java,深度学习,自然语言处理",机器学习研发工程师,,7763563,2,32,20k-40k,0,数据开发,桃园,1号线/罗宝线,不限
,深圳,深圳追一科技有限公司,117189,"期权激励,年底双薪,带薪年假,节日礼物",i/image3/M00/21/56/CgpOIFqTvTaAHDX8AAPQG9kRoQk550.jpg,追一科技,150-500人,2018-06-22 17:04:51,0,南山区,不限,,B轮,开发/测试/运维类,1天前发布,,,today,"移动互联网,企业服务",,0,全职,1529666894000,22.546157,1号线/罗宝线_高新园;1号线/罗宝线_深大,113.946882,0,,风口行业,4434615,"深度学习,人工智能",机器学习算法工程师 (MJ000057),,4276394,1,100,20k-40k,0,数据开发,深大,1号线/罗宝线,1-3年
